vole,vole_2,day,title,runtime,finished,rounds_completed,args,script_path,script_setup,hardware_setup,output_path
1,2,1,social_magazine,6_12_2023__12_28,True,,,/home/pi/makenzie_experiment/makenzie_operant/scripts/social_magazine.py,/home/pi/makenzie_experiment/makenzie_operant/setup_files/social_magazine.yaml,/home/pi/makenzie_experiment/local_hardware.yaml,/home/pi/makenzie_experiment/outputs
5804,5835,1,social_magazine,6_12_2023__14_30,True,,,/home/pi/makenzie_experiment/makenzie_operant/scripts/social_magazine.py,/home/pi/makenzie_experiment/makenzie_operant/setup_files/social_magazine.yaml,/home/pi/makenzie_experiment/local_hardware.yaml,/home/pi/makenzie_experiment/outputs
5807,5833,1,social_magazine,6_13_2023__12_20,True,,,/home/pi/makenzie_experiment/makenzie_operant/scripts/social_magazine.py,/home/pi/makenzie_experiment/makenzie_operant/setup_files/social_magazine.yaml,/home/pi/makenzie_experiment/local_hardware.yaml,/home/pi/makenzie_experiment/outputs
5804,5835,1,social_magazine,6_13_2023__13_59,True,,,/home/pi/makenzie_experiment/makenzie_operant/scripts/social_magazine.py,/home/pi/makenzie_experiment/makenzie_operant/setup_files/social_magazine.yaml,/home/pi/makenzie_experiment/local_hardware.yaml,/home/pi/makenzie_experiment/outputs
5807,5833,1,social_magazine,6_14_2023__11_55,True,,,/home/pi/makenzie_experiment/makenzie_operant/scripts/social_magazine.py,/home/pi/makenzie_experiment/makenzie_operant/setup_files/social_magazine.yaml,/home/pi/makenzie_experiment/local_hardware.yaml,/home/pi/makenzie_experiment/outputs
5804,5835,1,social_magazine,6_14_2023__13_36,True,,,/home/pi/makenzie_experiment/makenzie_operant/scripts/social_magazine.py,/home/pi/makenzie_experiment/makenzie_operant/setup_files/social_magazine.yaml,/home/pi/makenzie_experiment/local_hardware.yaml,/home/pi/makenzie_experiment/outputs
5807,5833,1,social_magazine,6_15_2023__12_9,True,,,/home/pi/makenzie_experiment/makenzie_operant/scripts/social_magazine.py,/home/pi/makenzie_experiment/makenzie_operant/setup_files/social_magazine.yaml,/home/pi/makenzie_experiment/local_hardware.yaml,/home/pi/makenzie_experiment/outputs
5804,5835,1,social_magazine,6_15_2023__13_49,True,,,/home/pi/makenzie_experiment/makenzie_operant/scripts/social_magazine.py,/home/pi/makenzie_experiment/makenzie_operant/setup_files/social_magazine.yaml,/home/pi/makenzie_experiment/local_hardware.yaml,/home/pi/makenzie_experiment/outputs
5832,5793,1,door_train,6_15_2023__13_49,True,,,/home/pi/makenzie_experiment/makenzie_operant/scripts/door_train.py,/home/pi/makenzie_experiment/makenzie_operant/setup_files/door_train.yaml,/home/pi/makenzie_experiment/local_hardware.yaml,/home/pi/makenzie_experiment/outputs
6112,6080,1,nosepoke_contingent_1,,,,,/home/pi/makenzie_experiment/makenzie_operant/scripts/nose_poke.py,/home/pi/makenzie_experiment/makenzie_operant/setup_files/nose_poke.yaml,/home/pi/makenzie_experiment/local_nosepoke_hardware.yaml,/home/pi/makenzie_experiment/outputs
6102,6097,1,nosepoke_contingent_1,,,,,/home/pi/makenzie_experiment/makenzie_operant/scripts/nose_poke.py,/home/pi/makenzie_experiment/makenzie_operant/setup_files/nose_poke.yaml,/home/pi/makenzie_experiment/local_nosepoke_hardware.yaml,/home/pi/makenzie_experiment/outputs
6109,6113,1,nosepoke_contingent_1,,,,,/home/pi/makenzie_experiment/makenzie_operant/scripts/nose_poke.py,/home/pi/makenzie_experiment/makenzie_operant/setup_files/nose_poke.yaml,/home/pi/makenzie_experiment/local_nosepoke_hardware.yaml,/home/pi/makenzie_experiment/outputs
