vole,vole_2,day,title,runtime,finished,rounds_completed,args,script_path,script_setup,hardware_setup,output_path
7056,0,3,food_only,6_3_2024__15_24,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7049,0,3,food_only,6_3_2024__16_13,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7049,0,4,food_only,6_4_2024__15_39,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7056,0,4,food_only,6_4_2024__16_47,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7049,0,5,food_only,6_5_2024__16_15,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7056,0,5,food_only,6_5_2024__17_16,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7049,0,6,food_only_delay,6_6_2024__12_31,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7056,0,6,food_only_delay,6_6_2024__13_15,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7049,0,7,food_only_delay,6_7_2024__12_2,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7056,0,7,food_only_delay,6_7_2024__12_49,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7049,0,8,food_only_delay,6_10_2024__11_46,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7056,0,8,food_only_delay,6_10_2024__12_54,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7140,0,3,food_only,6_10_2024__13_47,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7055,0,3,food_only,6_10_2024__14_37,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7116,0,3,food_only,6_10_2024__15_33,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7110,0,3,food_only,6_10_2024__16_15,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7056,7061,9,novel_only_delay,6_11_2024__10_47,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7049,7062,9,novel_only_delay,6_11_2024__12_2,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7140,0,4,food_only,6_11_2024__13_14,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7055,0,4,food_only,6_11_2024__14_24,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
7116,0,4,food_only,6_11_2024__15_38,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/miniscope_operant_2024/outputs_imaging_cohort_1
