vole,vole_2,day,title,runtime,finished,rounds_completed,args,script_path,script_setup,hardware_setup,output_path
7090,0,3,food_only,6_24_2024__9_48,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/maya_miniscope_2024
7043,0,3,food_only,6_24_2024__10_38,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/maya_miniscope_2024
7042,0,3,food_only,6_24_2024__11_24,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/maya_miniscope_2024
7090,0,4,food_only,6_25_2024__9_2,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/maya_miniscope_2024
7043,0,4,food_only,6_25_2024__10_7,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/maya_miniscope_2024
7042,0,4,food_only,,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/maya_miniscope_2024
7090,0,5,food_only,6_26_2024__9_28,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/maya_miniscope_2024
7043,0,5,food_only,6_26_2024__10_38,True,,,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_miniscope_trigger.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/maya_miniscope_2024
7090,0,6,food_only_delay,6_27_2024__9_4,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/maya_miniscope_2024
7043,0,6,food_only_delay,6_27_2024__9_52,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/maya_miniscope_2024
7090,0,7,food_only_delay,6_28_2024__10_19,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/maya_miniscope_2024
7043,0,7,food_only_delay,6_28_2024__11_4,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/maya_miniscope_2024
7090,0,8,food_only_delay,7_1_2024__9_35,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/maya_miniscope_2024
7043,0,8,food_only_delay,7_1_2024__10_44,True,,port_side:same|delay:0,/home/pi/makenzie_operant/scripts/nose_poke_choice_contingent_house_lights_delay.py,/home/pi/makenzie_operant/setup_files/nose_poke_imaging_trigger.yaml,/home/pi/makenzie_operant/setup_files/nose_poke_hardware_house_lights_trigger.yaml,/home/pi/maya_miniscope_2024
